kredit_id,nasabah_id,jenis_kredit,jumlah_pinjaman,outstanding,tenor_bulan,suku_bunga_persen,tanggal_pencairan,tanggal_jatuh_tempo,status_kolektibilitas,agunan,sektor_ekonomi
KRD000001,NSB0006428,KUR Kecil,200000000,89542329,48,6.0,2024-03-08,2028-02-16,2-Dalam Perhatian Khusus,Tanpa Agunan,Retail
KRD000002,NSB0007555,Kredit Investasi,100000000,64652352,12,9.0,2022-11-18,2023-11-13,1-Lancar,Sertifikat Tanah,Perdagangan
KRD000003,NSB0002501,KKB,300000000,217472428,36,8.0,2024-05-02,2027-04-17,1-Lancar,Tanpa Agunan,Retail
KRD000004,NSB0000472,KUR Mikro,5000000,4355750,12,6.0,2025-02-18,2026-02-13,1-Lancar,Personal Guarantee,Perdagangan
KRD000005,NSB0004821,KUR Mikro,5000000,3499306,12,6.0,2022-12-06,2023-12-01,3-Kurang Lancar,Tanpa Agunan,Transportasi
KRD000006,NSB0005377,Kredit Modal Kerja,50000000,16114467,24,9.0,2021-12-28,2023-12-18,2-Dalam Perhatian Khusus,Tanpa Agunan,F&B
KRD000007,NSB0001266,KUR Kecil,50000000,35418870,48,6.0,2024-08-16,2028-07-26,1-Lancar,Deposito,Konstruksi
KRD000008,NSB0004061,KPR,500000000,145180626,120,8.5,2023-05-09,2033-03-17,1-Lancar,Sertifikat Tanah,Perikanan
KRD000009,NSB0008495,KPR,1000000000,923951451,180,8.0,2021-06-18,2036-03-31,1-Lancar,Sertifikat Tanah,Transportasi
KRD000010,NSB0007540,Kredit Multiguna,100000000,94767386,48,10.5,2022-03-06,2026-02-13,1-Lancar,BPKB,Properti
KRD000011,NSB0004947,KPR,200000000,154355270,180,8.0,2021-02-18,2035-12-02,1-Lancar,Mesin/Peralatan,Transportasi
KRD000012,NSB0003393,KPR,1000000000,860772922,180,8.0,2023-02-27,2037-12-10,1-Lancar,Sertifikat Tanah,F&B
KRD000013,NSB0008072,Kartu Kredit,100000000,66249659,24,11.0,2023-06-15,2025-06-04,5-Macet,BPKB,Konstruksi
KRD000014,NSB0003665,Kredit Investasi,100000000,11257747,36,12.0,2022-12-31,2025-12-15,1-Lancar,Sertifikat Tanah,Konstruksi
KRD000015,NSB0008369,Kredit Multiguna,250000000,142275763,48,10.0,2024-08-07,2028-07-17,5-Macet,Mesin/Peralatan,Pertanian
KRD000016,NSB0005835,KUR Mikro,15000000,6053217,12,6.0,2024-07-14,2025-07-09,1-Lancar,Sertifikat Tanah,Perdagangan
KRD000017,NSB0005119,KUR Mikro,10000000,4859789,12,6.0,2022-08-24,2023-08-19,1-Lancar,BPKB,Properti
KRD000018,NSB0001216,Kredit Multiguna,50000000,34167057,12,10.5,2023-07-25,2024-07-19,5-Macet,Deposito,Manufaktur
KRD000019,NSB0007863,Kartu Kredit,500000000,260348707,24,8.5,2023-12-31,2025-12-20,3-Kurang Lancar,Sertifikat Tanah,Jasa
KRD000020,NSB0007702,KKB,500000000,360752016,48,9.0,2025-02-25,2029-02-04,1-Lancar,BPKB,Perikanan
KRD000021,NSB0006190,Kartu Kredit,250000000,205870082,60,9.5,2022-04-09,2027-03-14,1-Lancar,Mesin/Peralatan,F&B
KRD000022,NSB0005368,KPR,500000000,452207081,120,8.0,2024-12-14,2034-10-23,1-Lancar,Tanpa Agunan,Pertanian
KRD000023,NSB0000018,Kartu Kredit,50000000,18979080,12,11.0,2021-12-07,2022-12-02,1-Lancar,Personal Guarantee,Perikanan
KRD000024,NSB0006917,KUR Kecil,50000000,40705865,48,6.0,2025-02-07,2029-01-17,2-Dalam Perhatian Khusus,Deposito,Transportasi
KRD000025,NSB0004760,KUR Mikro,25000000,19137341,24,6.0,2022-04-23,2024-04-12,1-Lancar,Tanpa Agunan,Pertanian
KRD000026,NSB0003461,Kartu Kredit,500000000,333512593,48,8.5,2020-07-27,2024-07-06,1-Lancar,Deposito,Pertanian
KRD000027,NSB0000986,KKB,300000000,122010321,36,9.5,2024-10-11,2027-09-26,1-Lancar,Sertifikat Tanah,Manufaktur
KRD000028,NSB0002619,KPR,500000000,339757815,120,9.0,2023-10-15,2033-08-23,1-Lancar,Sertifikat Tanah,Retail
KRD000029,NSB0007760,KPR,500000000,158333802,240,8.0,2024-12-21,2044-09-07,1-Lancar,Personal Guarantee,Perdagangan
KRD000030,NSB0007532,Kredit Investasi,500000000,354470597,48,12.0,2021-10-28,2025-10-07,3-Kurang Lancar,BPKB,Jasa
