simpanan_id,nasabah_id,jenis_simpanan,saldo,suku_bunga_persen,tanggal_buka,mata_uang,status
SMP0000001,NSB0001107,Tabungan,10000000,2.0,2018-09-12,IDR,Aktif
SMP0000002,NSB0002796,Deposito,1000000000,4.5,2022-08-10,IDR,Aktif
SMP0000003,NSB0003221,Tabungan,250000000,1.0,2024-05-24,IDR,Aktif
SMP0000004,NSB0001656,Deposito,250000000,3.5,2015-04-03,IDR,Aktif
SMP0000005,NSB0000621,Tabungan,250000000,1.5,2024-09-03,IDR,Aktif
SMP0000006,NSB0009986,Giro,5000000,0.25,2016-10-28,IDR,Aktif
SMP0000007,NSB0006642,Giro,1000000000,0.5,2021-09-20,IDR,Aktif
SMP0000008,NSB0000867,Deposito,50000000,5.5,2021-05-02,IDR,Aktif
SMP0000009,NSB0009925,Giro,1000000000,0.5,2017-04-05,IDR,Aktif
SMP0000010,NSB0005871,Deposito,10000000,5.5,2018-05-26,IDR,Aktif
SMP0000011,NSB0004992,Deposito,10000000,4.0,2019-02-12,IDR,Aktif
SMP0000012,NSB0004814,Tabungan,50000000,1.5,2019-05-23,IDR,Aktif
SMP0000013,NSB0005359,Tabungan,25000000,1.0,2017-05-13,IDR,Aktif
SMP0000014,NSB0004598,Deposito,500000000,5.0,2016-09-13,IDR,Ditutup
SMP0000015,NSB0007668,Deposito,50000000,5.5,2022-05-27,IDR,Aktif
SMP0000016,NSB0002801,Deposito,10000000,5.5,2021-05-05,IDR,Aktif
SMP0000017,NSB0006516,Tabungan,500000,0.5,2016-08-07,IDR,Aktif
SMP0000018,NSB0008832,Tabungan,10000000,1.5,2022-09-26,IDR,Aktif
SMP0000019,NSB0003759,Tabungan,25000000,1.0,2021-04-22,IDR,Aktif
SMP0000020,NSB0000933,Giro,100000000,0.25,2019-08-13,IDR,Aktif
SMP0000021,NSB0000825,Giro,5000000,0.5,2022-06-02,IDR,Aktif
SMP0000022,NSB0000518,Deposito,1000000000,5.5,2017-10-22,IDR,Aktif
SMP0000023,NSB0006983,Deposito,1000000000,4.0,2023-05-24,IDR,Aktif
SMP0000024,NSB0002016,Tabungan,100000,0.5,2023-12-21,IDR,Aktif
SMP0000025,NSB0000513,Tabungan,5000000,1.0,2018-09-06,IDR,Aktif
SMP0000026,NSB0002797,Deposito,500000000,5.5,2024-03-12,IDR,Ditutup
SMP0000027,NSB0003604,Tabungan,1000000,2.0,2016-04-07,IDR,Aktif
SMP0000028,NSB0005129,Deposito,1000000000,5.5,2016-01-17,IDR,Aktif
SMP0000029,NSB0000867,Deposito,250000000,5.5,2015-02-22,IDR,Aktif
SMP0000030,NSB0002759,Tabungan,10000000,1.5,2020-08-13,IDR,Aktif
SMP0000031,NSB0001643,Deposito,100000000,5.0,2022-07-23,IDR,Ditutup
SMP0000032,NSB0009898,Deposito,500000000,4.0,2024-02-01,IDR,Aktif
SMP0000033,NSB0008281,Deposito,25000000,4.0,2020-07-31,IDR,Aktif
SMP0000034,NSB0006409,Deposito,100000000,5.5,2017-05-22,IDR,Aktif
SMP0000035,NSB0003031,Giro,10000000,0.5,2017-07-25,IDR,Aktif
SMP0000036,NSB0001610,Deposito,500000000,5.5,2020-02-02,IDR,Aktif
SMP0000037,NSB0005417,Tabungan,10000000,1.5,2020-08-22,IDR,Aktif
SMP0000038,NSB0000902,Tabungan,1000000,1.0,2019-11-10,IDR,Aktif
SMP0000039,NSB0008417,Tabungan,100000000,1.5,2024-09-13,IDR,Aktif
SMP0000040,NSB0005611,Tabungan,250000000,2.0,2020-11-28,IDR,Aktif
SMP0000041,NSB0003836,Tabungan,10000000,1.0,2017-06-30,IDR,Aktif
SMP0000042,NSB0001810,Tabungan,1000000,1.5,2021-12-03,IDR,Aktif
SMP0000043,NSB0007287,Deposito,1000000000,3.5,2017-05-01,IDR,Aktif
SMP0000044,NSB0008020,Tabungan,50000000,1.0,2020-08-26,IDR,Aktif
SMP0000045,NSB0009734,Deposito,500000000,4.0,2024-06-06,IDR,Aktif
SMP0000046,NSB0000582,Deposito,10000000,3.5,2019-08-18,IDR,Aktif
SMP0000047,NSB0003022,Giro,100000000,1.0,2018-12-25,IDR,Aktif
SMP0000048,NSB0004097,Tabungan,10000000,0.5,2016-06-16,IDR,Aktif
SMP0000049,NSB0002181,Deposito,250000000,5.5,2016-01-24,IDR,Aktif
SMP0000050,NSB0004994,Giro,50000000,0.5,2017-08-24,IDR,Ditutup
SMP0000051,NSB0005785,Tabungan,1000000,2.0,2017-11-29,IDR,Aktif
SMP0000052,NSB0008849,Deposito,1000000000,5.0,2020-01-22,IDR,Aktif
SMP0000053,NSB0009297,Tabungan,500000,1.5,2022-09-27,IDR,Aktif
SMP0000054,NSB0003817,Tabungan,250000000,0.5,2015-12-21,IDR,Aktif
SMP0000055,NSB0003319,Giro,100000000,0.5,2022-11-01,IDR,Aktif
SMP0000056,NSB0003436,Giro,5000000,1.0,2023-08-20,IDR,Aktif
SMP0000057,NSB0001916,Deposito,500000000,4.5,2016-04-14,IDR,Aktif
SMP0000058,NSB0009786,Tabungan,500000,0.5,2023-07-27,IDR,Aktif
SMP0000059,NSB0003052,Deposito,500000000,5.5,2023-07-07,IDR,Aktif
SMP0000060,NSB0009428,Deposito,1000000000,5.5,2022-11-21,IDR,Ditutup
SMP0000061,NSB0006293,Deposito,500000000,3.5,2024-11-03,IDR,Aktif
SMP0000062,NSB0009061,Deposito,50000000,5.0,2023-09-29,IDR,Aktif
SMP0000063,NSB0008092,Tabungan,1000000,1.5,2024-07-27,IDR,Aktif
SMP0000064,NSB0004074,Tabungan,250000000,1.5,2018-12-17,IDR,Aktif
SMP0000065,NSB0005556,Deposito,10000000,4.0,2017-08-10,IDR,Aktif
SMP0000066,NSB0008362,Tabungan,100000,0.5,2021-07-31,IDR,Aktif
SMP0000067,NSB0003109,Giro,50000000,0.25,2019-09-15,IDR,Aktif
SMP0000068,NSB0004283,Deposito,100000000,5.0,2022-11-02,IDR,Aktif
SMP0000069,NSB0003814,Tabungan,25000000,1.5,2022-11-23,USD,Aktif
SMP0000070,NSB0004282,Tabungan,250000000,0.5,2016-03-31,IDR,Ditutup
SMP0000071,NSB0000902,Tabungan,500000,2.0,2018-08-14,IDR,Aktif
SMP0000072,NSB0006938,Tabungan,100000000,1.5,2023-02-08,IDR,Aktif
SMP0000073,NSB0002889,Tabungan,50000000,0.5,2016-03-07,IDR,Aktif
SMP0000074,NSB0007258,Deposito,100000000,3.5,2022-04-03,IDR,Aktif
SMP0000075,NSB0006525,Deposito,25000000,5.0,2024-08-04,IDR,Aktif
SMP0000076,NSB0008184,Deposito,500000000,4.5,2015-10-28,USD,Aktif
SMP0000077,NSB0004922,Giro,50000000,0.25,2018-05-19,IDR,Aktif
SMP0000078,NSB0001035,Deposito,25000000,4.0,2021-05-11,IDR,Aktif
SMP0000079,NSB0008077,Tabungan,25000000,0.5,2021-07-19,IDR,Aktif
SMP0000080,NSB0005775,Giro,1000000000,0.25,2021-10-31,IDR,Aktif
SMP0000081,NSB0003757,Deposito,50000000,5.0,2017-12-23,IDR,Aktif
SMP0000082,NSB0001425,Giro,100000000,0.5,2023-01-02,IDR,Aktif
SMP0000083,NSB0005294,Deposito,1000000000,4.0,2018-01-01,IDR,Aktif
SMP0000084,NSB0000068,Tabungan,250000000,1.5,2022-06-04,IDR,Aktif
SMP0000085,NSB0000306,Deposito,10000000,4.0,2024-02-17,IDR,Aktif
SMP0000086,NSB0001727,Deposito,25000000,5.0,2019-04-04,IDR,Aktif
SMP0000087,NSB0009373,Tabungan,100000000,2.0,2022-09-04,IDR,Aktif
SMP0000088,NSB0004393,Deposito,10000000,3.5,2018-06-04,USD,Aktif
SMP0000089,NSB0002952,Tabungan,100000000,2.0,2021-03-28,USD,Aktif
SMP0000090,NSB0002363,Tabungan,5000000,2.0,2018-03-25,IDR,Ditutup
SMP0000091,NSB0006472,Deposito,100000000,4.5,2020-08-23,IDR,Aktif
SMP0000092,NSB0005074,Giro,10000000,0.25,2015-07-24,IDR,Aktif
SMP0000093,NSB0005924,Deposito,500000000,4.0,2017-12-15,IDR,Aktif
SMP0000094,NSB0007910,Tabungan,500000,1.0,2017-01-16,IDR,Aktif
SMP0000095,NSB0009816,Tabungan,250000000,1.5,2016-11-26,IDR,Aktif
SMP0000096,NSB0005240,Tabungan,500000,1.0,2024-05-15,IDR,Ditutup
SMP0000097,NSB0005184,Tabungan,100000,1.0,2015-09-02,IDR,Aktif
SMP0000098,NSB0000258,Deposito,100000000,5.0,2021-05-03,IDR,Aktif
SMP0000099,NSB0006279,Tabungan,100000000,1.5,2022-09-16,IDR,Aktif
SMP0000100,NSB0003108,Deposito,10000000,5.5,2016-03-15,IDR,Aktif
SMP0000101,NSB0002750,Tabungan,10000000,1.5,2015-05-25,IDR,Aktif
SMP0000102,NSB0009790,Giro,500000000,0.5,2020-08-19,IDR,Aktif
SMP0000103,NSB0004321,Deposito,250000000,5.0,2015-01-25,IDR,Aktif
SMP0000104,NSB0002541,Deposito,25000000,5.0,2022-03-13,IDR,Aktif
SMP0000105,NSB0009754,Deposito,250000000,4.0,2024-07-27,IDR,Aktif
SMP0000106,NSB0007782,Tabungan,25000000,0.5,2022-04-03,IDR,Aktif
SMP0000107,NSB0000358,Deposito,50000000,4.0,2022-06-03,IDR,Aktif
SMP0000108,NSB0009480,Tabungan,100000,0.5,2024-07-29,IDR,Aktif
SMP0000109,NSB0008547,Tabungan,100000,2.0,2023-11-21,IDR,Aktif
SMP0000110,NSB0005960,Tabungan,1000000,1.5,2023-04-23,IDR,Aktif
SMP0000111,NSB0008601,Deposito,500000000,4.5,2016-06-13,IDR,Aktif
SMP0000112,NSB0007215,Tabungan,5000000,1.0,2019-10-25,IDR,Aktif
SMP0000113,NSB0001630,Deposito,250000000,3.5,2023-04-02,IDR,Aktif
SMP0000114,NSB0000582,Tabungan,5000000,0.5,2018-01-16,IDR,Aktif
SMP0000115,NSB0008678,Giro,1000000000,0.25,2020-02-23,IDR,Aktif
SMP0000116,NSB0006361,Tabungan,5000000,1.5,2023-04-06,IDR,Aktif
SMP0000117,NSB0008779,Tabungan,250000000,1.0,2015-11-20,IDR,Aktif
SMP0000118,NSB0007494,Tabungan,500000,1.0,2018-11-07,USD,Aktif
SMP0000119,NSB0004878,Deposito,1000000000,5.5,2022-10-02,IDR,Aktif
SMP0000120,NSB0009425,Giro,1000000000,0.5,2021-08-21,IDR,Aktif
SMP0000121,NSB0000047,Tabungan,10000000,1.5,2023-11-04,IDR,Aktif
SMP0000122,NSB0004381,Tabungan,1000000,1.0,2022-02-28,IDR,Aktif
SMP0000123,NSB0007065,Deposito,25000000,3.5,2022-03-04,IDR,Ditutup
SMP0000124,NSB0005070,Tabungan,250000000,0.5,2022-03-23,USD,Aktif
SMP0000125,NSB0004479,Tabungan,250000000,0.5,2023-04-12,IDR,Aktif
SMP0000126,NSB0002284,Tabungan,100000,1.0,2020-10-24,IDR,Aktif
SMP0000127,NSB0001656,Deposito,25000000,5.5,2018-08-14,IDR,Aktif
SMP0000128,NSB0007475,Deposito,500000000,4.5,2017-08-14,IDR,Aktif
SMP0000129,NSB0008448,Tabungan,100000000,2.0,2015-08-17,IDR,Aktif
SMP0000130,NSB0002255,Tabungan,250000000,1.5,2015-11-15,IDR,Aktif
SMP0000131,NSB0001832,Deposito,500000000,4.0,2022-07-20,IDR,Aktif
SMP0000132,NSB0007601,Deposito,10000000,5.0,2017-10-29,IDR,Aktif
SMP0000133,NSB0008726,Tabungan,50000000,1.5,2023-03-06,IDR,Aktif
SMP0000134,NSB0001542,Deposito,500000000,4.5,2023-12-14,IDR,Aktif
SMP0000135,NSB0007276,Tabungan,250000000,2.0,2019-08-19,IDR,Ditutup
SMP0000136,NSB0004170,Tabungan,1000000,0.5,2022-02-27,IDR,Aktif
SMP0000137,NSB0002101,Deposito,25000000,3.5,2022-07-22,IDR,Aktif
SMP0000138,NSB0008912,Tabungan,100000000,2.0,2019-02-24,IDR,Ditutup
SMP0000139,NSB0009441,Giro,1000000000,1.0,2024-05-25,IDR,Aktif
SMP0000140,NSB0009414,Deposito,500000000,4.5,2019-06-15,IDR,Aktif
SMP0000141,NSB0008072,Tabungan,100000,2.0,2022-05-28,IDR,Aktif
SMP0000142,NSB0004879,Tabungan,50000000,0.5,2019-12-02,IDR,Aktif
SMP0000143,NSB0006578,Tabungan,25000000,1.0,2020-05-02,IDR,Aktif
SMP0000144,NSB0003930,Tabungan,25000000,1.5,2023-02-03,IDR,Aktif
SMP0000145,NSB0000750,Deposito,10000000,5.5,2020-08-07,IDR,Aktif
SMP0000146,NSB0003471,Tabungan,10000000,0.5,2023-07-31,USD,Ditutup
SMP0000147,NSB0007508,Giro,1000000000,1.0,2023-09-01,IDR,Aktif
SMP0000148,NSB0009525,Tabungan,5000000,1.0,2024-10-20,IDR,Ditutup
SMP0000149,NSB0004380,Giro,100000000,0.5,2024-03-12,IDR,Aktif
SMP0000150,NSB0003652,Tabungan,250000000,0.5,2020-10-19,IDR,Aktif
